n,m,p,w,optimal_solution,calc_time,gap,cuts,objective_value
20,3,0.8,5,integer infeasible,0.015000000013969839,,,
20,3,0.8,5,integer infeasible,0.015999999945051968,,,
20,3,0.8,5,integer infeasible,0.015999999945051968,,,
20,3,0.8,5,integer infeasible,0.015000000013969839,,,
20,3,0.8,5,integer infeasible,0.0,,,
20,3,0.8,5,integer infeasible,0.015999999945051968,,,
20,3,1.0,1,integer infeasible,0.01600000006146729,,,
20,3,1.0,1,integer infeasible,0.015000000013969839,,,
20,3,1.0,1,integer infeasible,0.0,,,
20,3,1.0,1,integer infeasible,0.015000000013969839,,,
20,3,1.0,1,integer infeasible,0.015999999945051968,,,
20,3,1.0,1,integer infeasible,0.01600000006146729,,,
20,3,1.0,1,integer infeasible,0.015000000013969839,,,
20,3,1.0,1,integer infeasible,0.015000000013969839,,,
20,3,1.0,1,integer infeasible,0.015999999945051968,,,
20,3,1.0,1,integer infeasible,0.0,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.015999999945051968,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.015999999945051968,,,
20,3,1.0,10,integer infeasible,0.01600000006146729,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.015000000013969839,,,
20,3,1.0,10,integer infeasible,0.01600000006146729,,,
20,3,1.0,5,integer infeasible,0.01600000006146729,,,
20,3,1.0,5,integer infeasible,0.015000000013969839,,,
20,3,1.0,5,integer infeasible,0.015000000013969839,,,
